Dataset,County,County_Urban,County_Bioregion,Frequency_General,Frequency_Tuna,Frequency_Shrimp,Frequency_Salmon,Frequency_Flounder,Frequency_BlueCrab,Frequency_Clams,Frequency_Mullet,Frequency_Oysters,Frequency_raw_Tuna,Frequency_raw_Shrimp,Frequency_raw_Salmon ,Frequency_raw_Flounder,Frequency_raw_BlueCrab,Frequency_raw_Clams ,Frequency_raw_Mullet ,Frequency_raw_Oysters ,Where_Tuna,Where_Shrimp,Where_Salmon,Where_Flounder,Where_BlueCrab,Where_Clams,Where_Mullet,Where_Oysters,Form_Tuna,Form_Shrimp,Form_Salmon,Form_Flounder,Form_BlueCrab,Form_Clams,Form_Mullet,Form_Oysters,Preference_Tuna ,Preference_Shrimp,Preference_Salmon,Preference_Flounder,Preference_BlueCrab ,Preference_Clams ,Preference_Mullet ,Preference_Oysters,Qualities_Healthy ,Qualities_Local ,Qualities_Safe ,Qualities_Local_Economies ,Qualities_Tasty ,Qualities_Affordable,Qualities_Local_Culture ,Qualities_Sustainable ,Qualities_Easy_Access ,Qualities_Local_Environments,Qualities_Fresh,Importance_Health,Importance_Local,Importance_Safe,Importance_Local_Economies,Importance_Tasty,Importance_Affordable,Importance_Local_Culture,Importance_Sustainable,Importance_Easy_Access,Importance_Local_Environments,Importance_Fresh,Importance_Wild,Importance_Farmed,WTP_Healthy,WTP_Local,WTP_Safe,WTP_Local_Economies,WTP_Tasty,WTP_Affordable,WTP_Local_Culture,WTP_Sustainable,WTP_Easy_Access,WTP_Local_Environments,WTP_Fresh,WTP_Wild,WTP_Farmed,Covid_Importance_Healthy,Covid_Importance_Local,Covid_Importance_Safe,Covid_Importance_Local_Economies,Covid_Importance_Tasty,Covid_Importance_Affordable,Covid_Importance_Local_Culture,Covid_Importance_Sustainable,Covid_Importance_Easy_Access,Covid_Importance_Local_Envrionments,Covid_Importance_Fresh,Covid_Importance_Wild,Covid_Importance_Farmed,Rank_Coastal_Development,Rank_Heritage,Rank_State_Economy,Rank_Sustainability ,Rank_Small_Business,Rank_Wages,Rank_Trade_Deficit,Rank_Food_Security,Rank_Wild,Rank_Farmed,Local_Seafood,Local_Seafood_Text,Benefit_Local,LocalBenefit1,LocalBenefit2,Rate_Mariculture_Win,Rate_Grow_Oyster_Market,Rate_Regulatory_Balance,Rate_Unfair_Markets,Rate_Company_Rights,Rate_Good_Bad_Years,Rate_Hurt_Oyster_Market,Rate_Heritage_Loss,Rate_Local_Food_Security,Rate_Farms_Improve_Fishing,Rate_Aquaculture_Future,Rate_Residential_Leases,Rate_Overfishing_Occurring ,Rate_Fish_Meant_Harvesting ,Rank_Growth_NC_Seafood_Critical,Rank_Farming_Priority,Rank_Commercial_Fishing_Protection,Rank_Commercial_Fishing_Backbone,Knowledge_Production,Frequency_NC_Coast,Involvement_Commercial,Involvement_Recreational,Eat_Catch,Distance_NC_Coast_original,Zip,Age_original,Age_corrected,Over_Under_40,Gender_original,Gender_Text,Education,Political_Party,Political_Party_Text,Race1,Race2,Race3,Race4,Race_Text,Race_Combined,Income,Duration
1,Granville,2,3,2,1,2,5,2,1,2,0,0,0,0,0,0,0,0,,,3,3,3,3,3,3,,,1,2,1,1,1,3,,,1,1,1,1,1,1,,,1,1,1,1,1,3,1,1,3,1,1,5,4,4,5,5,3,4,5,5,5,5,5,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,,2,,,,,1,,3,,"Helps local economy, know where's your seafood comes from",,,5,4,5,4,2,4,2,3,4,4,4,4,4,2,1,4,3,2,1,3,0,3,4,6,27509,4,5,2,2,,3,1,,1,,,,,1,5,916
1,New Hanover,1,1,4,2,4,4,2,2,1,0,1,0,0,0,0,0,0,,0,4,4,4,4,4,4,,5,5,5,5,5,5,5,,5,2,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,4,4,4,4,4,5,4,2,2,2,4,2,3,2,1,1,2,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,1,,1,,3,,2,,,,,2,,It is fresher helps local people,,,5,4,5,4,4,4,3,4,3,4,2,4,4,4,3,4,1,2,2,5,0,3,3,1,28412,3,3,1,1,,5,3,,1,,,,,1,3,599
1,Wake,1,3,2,3,2,2,0,0,0,0,0,0,0,0,,,,,,3,3,3,,,,,,3,1,1,,,,,,2,2,2,,,,,,5,5,5,5,5,3,5,5,5,5,5,4,3,5,4,5,5,3,3,3,3,4,4,2,0,1,0,1,1,1,1,1,0,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,,3,,2,,,4,,supporting local business,,,4,3,2,3,2,2,3,4,3,3,3,4,2,2,1,3,4,2,0,1,0,0,4,6,27511,6,7,2,1,,3,2,,1,,,,,1,1,1183
1,Buncombe,1,4,4,0,4,4,2,2,0,0,4,,0,0,0,0,,,0,,3,3,3,3,,,3,,1,1,2,1,,,1,,1,1,1,1,,,1,5,2,5,2,2,2,2,3,2,3,2,5,3,5,5,5,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,,,,1,,,5,,Good for local economy and fresher,,,5,3,3,5,1,3,1,4,5,5,5,5,5,5,3,4,2,1,1,2,0,0,0,6,28711,6,7,2,2,,7,2,,1,,,,,1,5,833
1,Johnston,1,2,2,0,2,0,0,0,0,0,0,,2,,,,,,,,3,,,,,,,,1,,,,,,,,3,,,,,,,4,1,2,2,2,2,5,5,2,5,2,3,3,5,3,5,5,1,1,3,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,1,1,3,1,3,2,2,,2,,,3,,,1,,,3,,It is fresher and helps the state's economy and creates jobs,,,5,3,4,4,2,3,3,3,5,3,3,5,4,2,3,1,2,4,0,0,0,0,0,6,27529,4,4,2,1,,4,3,,1,,,,,1,4,556
1,Lincoln,2,3,4,6,1,2,2,0,0,0,0,0,0,0,0,,,,,3,4,3,4,,,,,3,5,1,5,,,,,6,6,6,6,,,,,5,5,5,3,5,5,3,5,5,5,5,5,2,5,5,5,5,4,3,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,2,2,2,2,2,2,2,,,3,,,,2,1,,,3,,It seems like it would be fresher.,,,5,5,4,3,4,4,1,2,5,4,5,1,5,4,1,3,4,2,0,1,0,0,0,6,28092,7,5,2,1,,4,2,,1,,,,,1,4,866
1,Mecklenburg,1,3,4,1,2,2,0,0,0,0,1,0,0,0,,,,,0,3,3,3,,,,,5,3,2,2,,,,,1,3,2,2,,,,,2,1,3,2,4,4,3,4,2,3,1,2,3,2,4,1,4,4,1,2,4,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,,1,,,,,,,3,,Helping the local economy,,,4,4,4,3,2,4,2,4,4,4,3,4,5,2,3,4,1,2,0,1,0,0,0,6,28209,2,2,1,1,,6,1,,1,,,,,1,4,618
1,Mecklenburg,1,3,4,4,3,0,2,0,1,0,0,0,0,,0,,0,,,3,4,,4,,4,,,3,1,,1,,1,,,3,3,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,3,1,5,1,4,4,1,4,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,,,3,2,,,3,,Fresher,,,3,3,5,3,1,2,3,3,4,5,3,3,5,4,1,2,3,4,0,2,0,0,1,6,28078,7,5,2,1,,3,4,Unafilated,1,,,,,1,2,988
1,Alexander,2,3,2,2,2,0,0,0,0,0,2,0,0,,,,,,0,3,4,,,,,,4,3,5,,,,,,5,3,3,,,,,,3,5,5,5,5,5,5,5,5,5,5,5,2,2,5,3,4,4,4,4,4,4,2,1,1,1,2,3,1,2,1,1,1,2,1,2,0,0,2,3,3,3,2,3,3,3,3,3,2,2,2,,2,,,,,,1,,3,3,,Supporting my community,,,4,2,4,2,3,3,3,4,5,4,3,2,4,2,3,2,4,1,0,1,0,3,0,5,28636,6,7,2,1,,3,4,,1,,,,,1,3,1026
1,Durham,1,3,2,1,2,2,2,1,0,0,0,0,0,0,0,0,,,,3,4,3,4,4,,,,1,5,3,5,5,,,,3,2,2,4,1,,,,1,1,1,1,1,2,1,2,3,1,1,3,4,5,5,5,5,5,5,4,5,5,4,4,0,1,0,1,0,1,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,,,1,2,,,,,3,,support for NC fishermen,,,5,4,4,4,5,5,2,5,4,5,3,5,4,3,1,3,4,2,1,2,0,0,4,6,27705,5,5,2,2,,3,1,,3,,,,,3,5,1314
1,Forsyth,1,3,5,5,5,4,4,2,3,2,3,3,0,0,0,0,0,0,3,4,4,3,3,4,3,4,4,3,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,4,3,4,4,3,3,2,4,2,3,4,5,3,3,5,4,5,4,2,5,3,4,5,1,0,2,1,1,0,0,1,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,,,2,,,,,,3,,hopefully it is fresher having traveled a shorter distance,,,3,3,5,5,4,5,3,4,4,4,3,2,5,3,2,4,1,3,3,3,0,3,1,4,27104,3,3,1,2,,5,2,,1,,,,,1,6,538
1,Gaston,1,3,3,5,3,3,3,1,2,0,1,2,0,0,0,0,0,,0,3,3,3,3,3,3,,3,3,2,1,1,1,3,,1,1,1,1,1,1,1,,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,1,,,2,,,,5,,freshness,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,2,3,8,0,0,0,5,28120,6,7,2,2,,3,2,,1,,,,,1,1,657
1,Rutherford,2,3,3,4,0,3,3,0,0,0,0,3,,3,0,,,,,3,,4,4,,,,,3,,5,5,,,,,2,,1,3,,,,,2,1,1,1,2,3,5,3,2,2,1,5,3,5,4,5,5,4,5,5,5,5,3,3,2,4,4,4,4,1,4,1,4,1,4,1,2,3,2,3,2,3,3,2,3,2,2,3,3,2,,,,3,1,2,,,,,3,,Fresh. Not loaded with chemicals,,,5,5,5,5,5,5,5,5,3,3,3,5,3,3,3,1,2,4,2,2,0,3,3,3,,2,2,1,1,,3,4,Conservative,1,,,,,1,2,352
1,Guilford,1,3,3,3,2,0,1,0,0,0,0,0,0,,0,,,,,3,4,,4,,,,,3,5,,5,,,,,2,1,,1,,,,,1,1,5,1,5,5,5,5,5,5,1,4,4,5,4,5,5,5,5,4,5,5,4,3,1,1,1,1,1,0,1,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,,1,3,,,,,3,,good for the area's economy,,,4,3,5,3,2,4,3,2,4,3,4,4,4,3,3,4,1,2,1,3,0,3,1,6,27313,6,7,2,1,,3,3,,1,,,,,1,1,694
1,Stanly,2,3,2,0,0,0,2,0,0,0,0,,,,0,,,,,,,,4,,,,,,,,5,,,,,,,,3,,,,,3,3,3,3,2,2,2,2,2,2,2,3,4,5,4,5,5,4,3,4,4,5,1,3,2,2,2,2,3,3,2,2,3,2,3,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,,,,,1,2,,3,,,3,,Helping support businesses in my community.,,,4,4,5,4,3,5,2,4,2,3,3,4,3,4,1,2,4,3,1,3,0,0,1,6,28137,6,7,2,1,,4,2,,1,,,,,1,1,562
1,Onslow,2,1,2,0,2,0,0,0,1,0,1,,0,,,,0,,0,,4,,,,4,,4,,1,,,,1,,1,,3,,,,3,,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,,,1,,,2,,,6,,Good,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,3,2,8,1,1,2,7,28574,2,2,1,1,,1,5,,1,,,,,1,1,430
1,Franklin,2,3,2,4,4,2,0,0,0,0,0,0,0,0,,,,,,3,4,3,,,,,,3,5,2,,,,,,3,2,2,,,,,,1,1,1,1,1,1,1,1,3,1,1,4,3,5,3,5,5,3,3,5,4,5,5,1,1,2,2,1,2,1,1,1,2,2,2,2,0,2,2,3,3,2,2,2,2,3,2,2,2,2,1,,2,,3,,,,,,3,,freshness which affects taste,,,3,4,4,3,3,3,3,4,4,3,3,4,3,3,2,3,1,4,0,1,0,0,1,6,27549,5,6,2,1,,3,2,,1,,,,,1,2,737
1,Mecklenburg,1,3,3,4,1,1,0,0,0,0,0,0,1,0,,,,,,3,3,3,,,,,,3,5,1,,,,,,3,3,3,,,,,,5,5,5,5,2,5,5,5,5,5,5,5,3,5,4,5,5,4,4,5,5,4,4,4,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,,,3,,1,,,3,,it would be fresher,,,5,3,5,5,5,4,3,3,4,3,3,4,4,5,1,3,4,2,0,1,0,0,0,6,28226,6,7,2,1,,3,1,,1,,,,,1,1,690
1,Craven,2,2,4,0,0,4,0,0,4,0,3,,,4,,,3,,3,,,3,,,3,,3,,,1,,,3,,3,,,3,,,3,,3,3,4,2,2,2,1,2,3,2,2,3,4,2,3,4,5,4,3,4,4,5,5,3,3,0,0,0,1,1,0,1,1,1,0,0,1,0,2,2,2,3,3,3,3,3,3,3,3,2,3,,,,3,2,,,,,1,4,,it is fresh,,,3,5,5,4,5,1,3,5,5,4,5,4,4,5,4,2,3,1,2,5,0,0,3,3,28532,6,7,2,2,,5,1,,1,2,,,,8,5,819
1,Wake,1,3,4,0,3,0,0,0,0,0,0,,3,,,,,,,,3,,,,,,,,2,,,,,,,,3,,,,,,,1,5,2,2,1,1,2,1,1,2,1,4,3,4,3,4,5,4,4,5,4,4,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,3,2,3,2,3,3,2,2,3,2,3,2,2,,,,2,1,,,3,,,3,,It’s more personalable,,,3,3,4,4,5,4,3,5,5,5,3,3,4,4,2,1,3,4,1,3,3,3,2,7,27614,2,2,1,1,,5,3,,1,,,,,1,1,405
1,Nash,2,2,3,1,2,2,2,0,0,0,0,0,0,0,0,,,,,4,3,3,3,,,,,3,2,3,5,,,,,6,6,6,6,,,,,4,4,4,4,4,4,4,4,4,4,4,5,1,5,4,5,5,2,4,4,2,3,3,3,1,1,1,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,,3,,,1,,,3,,Fresh,,,4,1,3,4,4,4,2,3,3,3,3,2,4,4,2,1,4,3,0,1,0,0,0,6,27856,6,7,2,1,,5,1,,1,,,,,1,3,707
1,Durham,1,3,6,5,4,4,4,3,3,2,3,0,0,0,0,0,0,0,0,3,3,4,3,4,4,4,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,1,4,3,5,4,5,4,4,4,5,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,,2,,,1,,,3,,Helps local economy,,,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,2,1,2,3,0,3,0,6,27707,5,6,2,1,,4,1,,1,,,,,1,5,511
1,Cabarrus,1,3,2,3,2,0,0,0,0,0,0,0,0,,,,,,,3,3,,,,,,,3,5,,,,,,,3,1,,,,,,,1,1,1,3,1,1,5,3,3,3,1,5,5,5,5,5,5,5,5,5,4,5,5,4,1,0,1,0,0,0,0,0,0,0,1,1,0,2,2,3,2,2,2,2,2,2,2,3,2,3,,,,,,3,,1,2,,3,,"The benefits are fresh fish, and supporting the local community.",,,5,3,5,5,5,2,3,5,5,4,3,5,4,5,3,4,2,1,0,2,0,3,2,3,28075,5,6,2,1,,2,2,,3,,,,,3,3,1679
1,Durham,1,3,2,0,2,2,0,0,0,0,0,,2,2,,,,,,,4,4,,,,,,,5,5,,,,,,,6,6,,,,,,3,5,3,3,5,5,3,5,5,5,1,4,1,5,2,5,5,1,4,4,3,4,3,3,1,0,1,0,1,0,0,0,0,0,0,1,1,3,2,3,2,2,3,2,2,2,2,2,2,2,,,2,,,1,,3,,,3,,It might be cheaper,,,5,3,5,5,4,5,4,3,5,5,3,3,4,4,1,4,3,2,1,2,0,0,0,6,27704,2,2,1,2,,2,3,,3,,,,,3,4,1044
1,Polk,2,3,4,4,0,3,3,0,2,0,0,0,,0,0,,0,,,3,,4,3,,4,,,3,,5,1,,5,,,6,,6,6,,6,,,1,5,5,1,5,5,1,5,5,5,1,5,4,5,5,5,5,5,4,5,5,5,4,4,2,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,3,2,2,3,2,2,2,2,,1,,3,,,,,,5,,Helping businesses grow in my state.,,,5,1,5,3,3,2,2,2,4,4,3,4,4,4,1,4,3,2,1,3,0,0,0,6,28722,6,7,2,1,,4,1,,1,,,,,1,4,1223
1,Cabarrus,1,3,5,2,5,4,0,2,3,4,3,2,5,3,,3,4,3,2,5,5,3,,5,5,5,5,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,2,2,2,2,4,1,2,5,3,5,5,5,5,3,4,4,5,5,5,4,1,0,1,0,1,0,0,0,1,0,1,1,0,2,3,3,3,2,2,2,2,2,2,3,2,2,,3,1,2,,,,,,,3,,Great deal,,,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,3,2,3,3,2,2,0,6,28138,3,3,1,1,,5,3,,1,,,,,1,4,674
1,Wake,1,3,2,0,4,0,2,1,0,0,0,,0,,0,0,,,,,4,,2,6,,,,,1,,1,5,,,,,6,,1,3,,,,5,1,1,2,2,2,3,2,1,1,3,5,5,5,4,4,5,4,4,3,4,5,2,4,2,4,4,4,4,1,1,4,4,4,3,1,4,3,3,3,3,3,3,3,3,2,3,3,1,3,,3,,,2,,1,,,,6,,Help the fishing industry ,,,3,4,2,5,5,5,1,5,5,5,5,5,3,5,3,1,2,4,2,3,0,1,4,6,27587,4,5,2,2,,2,1,,1,,,,,1,3,825
1,Mecklenburg,1,3,4,4,4,3,3,2,4,2,3,0,0,0,0,0,0,0,2,3,3,5,5,5,3,5,4,3,1,1,1,1,2,2,1,2,3,3,2,2,3,3,1,2,2,2,2,1,3,2,3,1,2,1,5,3,5,4,5,4,3,3,4,3,5,4,2,2,1,1,2,1,1,2,1,1,2,1,2,0,2,2,3,3,2,2,3,3,2,3,3,2,2,2,,,,,3,,,1,,3,,I’m giving back to my community and I feel I can trust I’m getting good seafood ,,,5,5,3,4,5,2,1,5,4,5,2,1,4,5,3,4,1,2,2,3,0,3,2,5,28134,4,4,2,1,,3,2,,1,,,,,1,5,590
